Indicação de data e hora,Qual o melhor candidato pro PSOL em 2014?,Qual o pré-candidato do PSOL que melhor ecoa as vozes das ruas após as jornadas de Junho/Outubro?,,Qual o melhor pré-candidato apontado pelo PSOL no que tange ao Ecossocialismo?,Qual o melhor pré-candidato apontado pelo PSOL no que tange a questão de gênero?,Qual o melhor pré-candidato apontado pelo PSOL com relação à questão LGBT?,Qual o melhor pré-candidato apontado pelo PSOL no que se relaciona com a questão racial/Negros de Negras?,Qual o melhor pré-candidato apontado pelo PSOL no que tange à questão da legalização das drogas?,Qual o melhor pré-candidato apontado pelo PSOL com relação à disciplina partidária e relação com a base e instâncias?,O congresso foi legítimo?,O processo de escolha do candidato a presidente no congresso foi legítimo?,"Se você acha que o congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ","Se você acha que o congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ",,"Se você acha que o processo de escolha do candidato a presidente no congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?","Se você acha que o processo de escolha do candidato a presidente no congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?"
12/12/2013 10:17:47,Chico Alencar,Chico Alencar,,Renato Roseno,Luciana Genro,Chico Alencar,Chico Alencar,Renato Roseno,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar
14/12/2013 03:34:49,Renato Roseno,Chico Alencar,,Renato Roseno,Chico Alencar,Renato Roseno,Chico Alencar,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar
09/12/2013 16:33:15,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,"Sim, e temso de parar de conflito para seguir construindo o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar
08/12/2013 17:17:43,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,"Sim, e temso de parar de conflito para seguir construindo o PSOL","Não, mas devemos parar de conflito para construir o PSOL",Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar
08/12/2013 21:36:03,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Nenhum dos indicados,Não,Não,Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,Chico Alencar,Chico Alencar
14/12/2013 03:25:15,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL",Sim,Chico Alencar,Outro,,Chico Alencar,Chico Alencar
08/12/2013 10:54:18,Chico Alencar,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar
06/12/2013 22:35:05,Chico Alencar,Renato Roseno,,Renato Roseno,Nenhum dos apontados,Nenhum dos apontados,Renato Roseno,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não,Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar
07/12/2013 12:05:53,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL","Não, mas devemos parar de conflito para construir o PSOL",Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar
13/12/2013 18:22:15,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Nenhum dos indicados,Chico Alencar,,Nenhum dos indicados,Chico Alencar
